Query	Website	Product Name	Link	Price	Description
blue sofa	https://www.bedbathandbeyond.com/	Classic Velvet Sofa Couch with Hardwood Frame, Upholstered Couch, Rounded Arms - Baby Blue	https://www.bedbathandbeyond.com/Home-Garden/Classic-Velvet-Sofa-Couch-with-Hardwood-Frame-Upholstered-Couch-Rounded-Arms/38460511/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=77333552&osp=true&lyceumGuid=54fb968e-95a0-44a0-886b-1e0fcd212038&searchidx=4	435.19	1.Classic and Simplicity Style: This 82.9” sofa couch offers six neutral color options:beige/black/blue/gray/purple and green which can easily decorate any living room.   With clean lines and no extra decoration, rolled armrest and backrest,which shows the contemporary and soft style of sofa
blue sofa	https://www.bedbathandbeyond.com/	Knox 84" Modern Farmhouse Pillow Back Sofa - Dark Navy Blue Performance Velvet	https://www.bedbathandbeyond.com/Home-Garden/Knox-Modern-Cushion-Back-Farmhouse-Sofa-by-Jennifer-Taylor-Home/34420740/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=72631608&osp=true&lyceumGuid=54fb968e-95a0-44a0-886b-1e0fcd212038&searchidx=13	1131.99	The perfect blend between casual comfort and style, the Knox Seating Collection by Jennifer Taylor Home brings cozy modern feelings into any space. The natural wood base and legs make a striking combination with the luxurious velvet upholstery. The back and arm pillows are all removable and reversible for the ultimate convenience of care while the single, attached bench-seat cushion stays in place. The seat is a medium seat supportive feel with feather-wrapped foam construction for a plush, down look and feel while a foam core offers resiliency and durability. Whether you're lounging alone or entertaining friends, let the Knox chair and sofa be the quintessential backdrop of your daily routine.
blue sofa	https://www.bedbathandbeyond.com/	Morden Fort Modern Velvet Sofa with Button Tufted,Solid Wood Frame and Iron Legs - Blue	https://www.bedbathandbeyond.com/Home-Garden/Morden-Fort-Modern-Contemporary-Sofa-Couch-with-Deep-Button-Tufting-Dutch-Velvet-Solid-Wood-Frame-and-Iron-Legs/33665026/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=63006621&osp=true&lyceumGuid=54fb968e-95a0-44a0-886b-1e0fcd212038&searchidx=10	691.19	Indulge in the sophistication and luxury of this Modern Button Tufted Dutch Velvet Sofa. Inspired by 1930s British design, this sofa boasts a regal yet resilient appeal with its buttery soft velvet upholstery, overstuffed construction, and high resilience foam. The deep button tufting and iron legs add a touch of glamour to this eye-catching piece, making it a stunning addition to any space.
blue sofa	https://www.bedbathandbeyond.com/	Somerville Chesterfield Tufted Velvet Sofa by Christopher Knight Home - Navy Blue/Dark Brown	https://www.bedbathandbeyond.com/Home-Garden/Somerville-Chesterfield-Tufted-Jewel-Toned-Velvet-Sofa-with-Scroll-Arms-by-Christopher-Knight-Home/24242295/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=40832069&osp=true&lyceumGuid=54fb968e-95a0-44a0-886b-1e0fcd212038&searchidx=19	692.62	Bring a touch of classic elegance to your home with the Somerville Chesterfield Tufted Velvet Sofa by Christopher Knight Home. Featuring scrolled arms, intricate button tufting, and nailhead trim, this sofa is designed with traditional Chesterfield style in mind. Deep button tufting offers both style and comfort, while tasteful nailhead accents and turned legs add to the hand-crafted details. Available in three jewel-toned velvet upholstery options, this sofa is the perfect addition to your traditional decor.
blue sofa	https://www.bedbathandbeyond.com/	Signature Design by Ashley Grasson Lane Brown/Blue Sofa	https://www.bedbathandbeyond.com/Home-Garden/Grasson-Lane-Brown-Blue-Sofa/30885960/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=55769260&searchidx=40	1075.23	Style. Comfort. Quality. Value. This sofa with cushion really goes to town, giving you the total package for outstanding outdoor living. Crafted to withstand the elements, this outdoor sofa's resin wicker base and rust-proof aluminum frame ensure carefree living, while the plush cushion covered in fade-resistant Nuvella® fabric provides stylish appeal. Comfy and casual, it's perfect for use inside or out.
blue sofa	https://www.bedbathandbeyond.com/	Copper Grove Sagarejo Sleek Contemporary 3-seat Sofa - Navy	https://www.bedbathandbeyond.com/Home-Garden/Copper-Grove-Sagarejo-3-seat-Sofa/25444605/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=42355204&searchidx=50	673.19	Enjoy a sleek and stylish addition to your living room with this contemporary three-seat sofa from Copper Grove. With a comfortable coil spring seat and durable polyester upholstery, this sofa comes with reversible cushions and two matching throw pillows, making it both functional and beautiful.
blue sofa	https://www.bedbathandbeyond.com/	William Street Sofa - Blue	https://www.bedbathandbeyond.com/Home-Garden/William-Street-Sofa/30750283/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=55407408&searchidx=17	457.19	Offer your home a centerpiece of exceptional design and texture to create an atmosphere of refinement throughout your interior decor. Plush upholstery and sloped arms make for a streamlined statement piece, as medium-firm cushioned seating gives this sofa a pop of classic glamour.
blue sofa	https://www.bedbathandbeyond.com/	GEITIN 3 Seater Sofa Couch with Wood Base - BLUE	https://www.bedbathandbeyond.com/Home-Garden/GEITIN-3-Seater-Sofa-Couch-with-Wood-Base/40180593/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=82251341&searchidx=39	337.49	Description
blue sofa	https://www.bedbathandbeyond.com/	Grayson Leather Blue Grey Motion Sofa with Power Head Rest - 41'' H x 86'' W x 38.5'' D	https://www.bedbathandbeyond.com/Home-Garden/Grayson-Leather-Blue-Grey-Motion-Sofa-with-Power-Head-Rest-41-H-x-86-W-x-38.5-D/35715857/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=68739181&searchidx=29	1583.17	Sink into ultimate relaxation with the Grayson Leather Blue Grey Motion Sofa. This power reclining sofa features power headrests to provide support and comfort for your upper body, while bucket seats conform to your body for ultimate comfort. The ocean blue leather adds a pop of color with a heavyweight grain texture that highlights the natural variations of the leather. With slightly sloped pillow-top arms and designer seams, this sofa is both relaxed and refined.
blue sofa	https://www.bedbathandbeyond.com/	Pompano Velvet Button Tufted Sofa with Chaise - Navy Blue	https://www.bedbathandbeyond.com/Home-Garden/Pompano-Velvet-Button-Tufted-Sofa-with-Chaise/31117305/product.html?refccid=6AKC6G7OO6Z3Q6CEUBRBEYI2ZU&option=56489505&searchidx=31	812.24	Add a touch of elegance to your living room with the Pompano Velvet Button Tufted Sofa with Chaise by Glory Furniture. The sofa boasts a contemporary style with button tufting and nailhead designs in an eye-catching finish, and it comes with two throw pillows to complete the look. Crafted with soft velvet upholstery and a sturdy wooden frame, this sofa is built to last. The chaise can be positioned on either side of the sofa to suit your preferences. Elevate your home décor with this stylish and comfortable sofa.
