('https://www.cs.jhu.edu#skip_content', 'Skip to main content')
('https://www.cs.jhu.edu#alert', 'Skip to site alert')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu#menu', '')
('https://www.cs.jhu.edu/search/', '')
('https://www.cs.jhu.edu/it-support/', 'CS IT Support')
('https://www.cs.jhu.edu/academic-programs/undergraduate-studies/undergraduate-academics/current-undergraduate-students/', 'Resources for Undergrads')
('https://www.cs.jhu.edu/academic-programs/graduate-studies/current-graduate-students/', 'Resources for Graduate Students')
('https://imagine.jhu.edu/hire-at-hopkins/', '')
('https://www.cs.jhu.edu', '')
('https://www.cs.jhu.edu', 'Department of Computer Science')
('https://engineering.jhu.edu/request-information/', '')
('https://engineering.jhu.edu/admissions/', '')
('https://makeagift.jhu.edu/form/eng', '')
('https://www.cs.jhu.edu/about/', 'About')
('https://www.cs.jhu.edu/about/message-from-dept-head/', '')
('https://www.cs.jhu.edu/about/diversity-and-inclusion/', '')
('https://www.cs.jhu.edu/about/employment-opportunities/', '')
('https://www.cs.jhu.edu/academic-programs/', 'Academic Programs')
('https://www.cs.jhu.edu/academic-programs/program-enrollment-and-outcomes/', '')
('https://www.cs.jhu.edu/academic-programs/undergraduate-studies/', '')
('https://www.cs.jhu.edu/academic-programs/graduate-studies/', '')
('https://www.cs.jhu.edu/academic-programs/combined-bachelors-masters/', '')
('https://www.cs.jhu.edu/academic-programs/academic-integrity-code/', '')
('https://www.cs.jhu.edu/research/', 'Research')
('https://www.cs.jhu.edu/research/theory-programming-languages/', '')
('https://www.cs.jhu.edu/research/systems/', '')
('https://www.cs.jhu.edu/research/computational-biology-medicine/', '')
('https://www.cs.jhu.edu/research/information-security/', '')
('https://www.cs.jhu.edu/research/language-speech-processing/', '')
('https://www.cs.jhu.edu/research/machine-learning-ai-and-data-science/', '')
('https://www.cs.jhu.edu/research/robotics-vision-graphics/', '')
('https://www.cs.jhu.edu/research/human-computer-interaction/', '')
