('https://www.oreilly.com/openbook/webclient/', 'Web Client Programming', 'Fri, 21 Mar 2003 00:19:49 GMT')
('https://nlp.stanford.edu/IR-book/information-retrieval-book.html', 'Introduction to Information Retrieval', 'Sat, 14 Sep 2013 20:43:44 GMT')
('https://www.cs.jhu.edu/~yarowsky/466.officehours.html', 'TA/CA Office Hours and Contact Information', 'Tue, 25 Jan 2022 17:22:58 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw1.zip', 'Homework #1 (sample code and training data)', 'Sun, 30 Jan 2022 02:34:13 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw2.zip', 'Homework #2 (sample code and training data)', 'Sun, 20 Feb 2022 18:00:13 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw3.zip', 'Homework #3 (sample code and training data)', 'Thu, 10 Mar 2022 22:59:32 GMT')
('https://www.cs.jhu.edu/~yarowsky/', 'David Yarowsky', 'Sat, 01 Oct 2022 03:11:35 GMT')
('https://www.cs.jhu.edu/~yarowsky/Gonzalez-vs-Google-case.pdf', 'Gonzales vs Gooogle case discussion Feb 2023', 'Thu, 23 Feb 2023 23:44:54 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.on.exam.txt', 'Topics on Exam', 'Thu, 11 May 2023 06:24:13 GMT')
('https://www.cs.jhu.edu/~yarowsky/cs466slides/', 'Link to Course Slides (except Weka or textbook slides, below)', 'Thu, 11 May 2023 19:55:44 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.l0.pdf', 'Introductory course overview slides', 'Tue, 23 Jan 2024 19:45:39 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw1.pdf', '', 'Thu, 25 Jan 2024 20:00:32 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw2.pdf', '', 'Fri, 16 Feb 2024 06:06:54 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw3.pdf', '', 'Tue, 12 Mar 2024 18:46:41 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw4.pdf', '', 'Sun, 31 Mar 2024 23:50:58 GMT')
('https://www.cs.jhu.edu/~yarowsky/601.466.pr.pdf', 'Final Project (due 4/26/24)', 'Tue, 02 Apr 2024 18:43:33 GMT')
